// Custom Terra Box (item id 5000) Obtainable Items Database
// Edit it as you wish, for your server.
// Structure of Database:
// GroupID,ItemID,Rate

// Terra Hats Custom
55,5000,108

55,4700,30
55,4702,30
55,4710,30
55,4712,30
55,4720,30
55,4722,30
55,4730,30
55,4732,30
55,4740,30
55,4742,30
55,4750,30
55,4752,30
55,4963,30
55,4964,30
55,4965,30
55,4966,30
55,4967,30
55,4968,30
55,4969,30
55,4970,30
55,4971,30
55,4972,30
55,4973,30
55,4974,30
55,4975,30
55,4976,30
55,4977,30
55,4978,30
55,4979,30
55,4980,30
55,4981,30
55,4982,30
55,4983,30
55,4984,30
55,4985,30
55,4986,30
55,4987,30
55,4988,30
55,4989,30
55,4990,30
55,4991,30
55,4992,30
55,4993,30
55,4996,30
55,4999,30

55,12246,1
55,616,80
55,12103,800
55,14597,1
55,14598,1
55,14602,1
55,14603,1
55,14604,1
55,14605,1
55,12279,10
55,12280,10
55,12920,100
55,12921,100
55,13718,200
55,6240,800
55,6241,800
55,7608,5
55,14608,80
55,14601,40
55,12247,80
55,14275,40
55,14278,40
55,14197,40
55,14193,40
55,14185,40
55,13543,40
55,13544,40
55,13545,40
55,13546,40
55,12105,40
55,12106,40
55,12107,40
55,12429,1
55,12430,1
55,12431,1
55,12432,1
55,12433,1
55,12434,1
55,12903,50
55,12904,50
55,12905,50
55,12906,50
55,12907,50
55,12908,50
55,13749,50
55,13755,50
55,7776,50
55,12329,80
55,12330,80
55,2345,5
55,2347,5
55,2349,5
55,2351,5
55,2237,32
55,5056,32
55,5101,32
55,5134,32
55,5147,32
55,5148,32
55,5180,32
55,5190,32
55,5200,32
55,5209,32
55,5302,32
55,5336,32
55,5337,32
55,5338,32
55,5339,32
55,5346,32
55,5352,32
55,5400,32
55,5412,32
55,5438,32
55,5439,32
55,5440,32
55,5441,32
55,5203,32
55,5282,32
55,5405,32
55,5422,32
55,5426,32
55,5427,32
55,5429,32
55,5437,32
55,5443,32
55,5444,32
55,5447,32
55,5448,32
55,5449,32
55,5450,32
55,5458,32
55,5472,32
55,5473,32
55,5474,32
55,5475,32
55,5480,32
55,5489,32
55,5522,32
55,5530,32
55,5531,32
55,5536,32
55,5563,32
55,5499,32
55,5511,32
55,5519,32
55,5523,32
55,5524,32
55,5525,32
55,5528,32
55,5534,32
55,5813,32
55,5020,32
55,5054,32
55,5102,32
55,5206,32
55,5406,32
55,5407,32
55,5411,32
55,5436,32
55,5446,32
55,5457,32
55,5501,32
55,5537,32
55,5538,32
55,5548,32
55,5557,32
55,5558,32
55,5562,32
55,5566,32
55,5572,32
55,5579,32
55,5591,32
55,5140,32
55,5227,32
55,5228,32
55,5229,32
55,5235,32
55,5236,32
55,5237,32
55,5238,32
55,5239,32
55,5240,32
55,5241,32
55,5242,32
55,5272,32
55,5287,32
55,5332,32
55,5333,16
55,5335,16
55,5370,16
55,5371,16
55,5380,16
55,5402,16
55,5413,16
55,5465,16
55,5466,16
55,5468,16
55,5477,16
55,5478,16
55,5500,16
55,5520,16
55,5592,16
55,5100,16
55,5135,16
55,5188,16
55,5189,16
55,5191,16
55,5192,16
55,5193,16
55,5194,16
55,5195,16
55,5196,16
55,5197,16
55,5198,16
55,5258,16
55,5285,16
55,5303,16
55,5322,16
55,5382,16
55,5383,16
55,5414,16
55,5469,16
55,5470,16
55,5479,16
55,5503,16
55,5506,16
55,5507,16
55,5508,16
55,5509,16
55,5510,16
55,5512,16
55,5513,16
55,5514,16
55,5515,16
55,5526,16
55,5529,16
55,5535,16
55,5539,16
55,5545,16
55,5546,16
55,5549,16
55,5550,16
55,5554,16
55,5555,16
55,5556,16
55,5569,16
55,5570,16
55,5573,16
55,5581,16
55,5582,16
55,5585,16
55,5588,16
55,5589,16
55,5598,16
55,5599,16
55,5139,16
55,5186,16
55,5254,16
55,5260,16
55,5304,16
55,5316,16
55,5381,16
55,5387,16
55,5390,16
55,5403,16
55,5404,16
55,5416,16
55,5417,16
55,5430,16
55,5482,16
55,5521,16
55,5527,16
55,5532,16
55,5567,16
55,5593,16
55,5822,16
55,5418,16
55,5496,16
55,5149,8
55,5179,8
55,5184,8
55,5213,8
55,5214,8
55,5243,8
55,5311,8
55,5319,8
55,5334,8
55,5359,8
55,5410,8
55,5568,8
55,5143,8
55,5146,8
55,5152,8
55,5183,8
55,5230,8
55,5231,8
55,5232,8
55,5233,8
55,5234,8
55,5252,8
55,5253,8
55,5263,8
55,5270,8
55,5294,8
55,5354,8
55,5355,8
55,5365,8
55,5385,8
55,5397,8
55,5409,8
55,5471,8
55,5495,8
55,5502,8
55,5505,8
55,5151,8
55,5182,8
55,5225,8
55,5259,8
55,5286,8
55,5293,8
55,5298,8
55,5305,8
55,5491,8
55,5098,8
55,5099,8
55,5103,8
55,5129,8
55,5130,8
55,5208,8
55,5256,8
55,5257,8
55,5261,8
55,5262,8
55,5271,8
55,5284,8
55,5289,8
55,5291,8
55,5296,8
55,5300,8
55,5307,8
55,5310,8
55,5317,8
55,5360,8
55,5361,8
55,5396,8
55,5485,8
55,5497,8
55,5498,8
55,5533,8
55,5568,8
55,5131,8
55,5133,8
55,5153,8
55,5185,8
55,5187,8
55,5220,8
55,5255,8
55,5288,8
55,5379,8
55,5388,8
55,5132,4
55,5273,4
55,5274,4
55,5275,4
55,5276,4
55,5283,4
55,5292,4
55,5312,4
55,5314,4
55,5358,4
55,5367,4
55,5389,4
55,5401,4
55,5565,4
55,5137,4
55,5138,4
55,5212,4
55,5226,4
55,5210,4
55,5277,4
55,5324,4
55,5362,4
55,5372,4
55,5373,4
55,5313,4
55,5378,4
55,5467,4
55,5547,4
55,5142,4
55,5278,4
55,5364,4
55,5393,4
55,5181,2
55,5211,2
55,5340,2
55,5341,2
55,5342,2
55,5343,2
55,5344,2
55,5345,2
55,5421,2
55,5464,2
55,5315,2
55,5325,2
55,5357,2
55,5363,2
55,5420,2
55,5375,2
55,5376,2
55,5377,2
55,5800,2
55,8907,2
55,8908,2
55,8909,2
55,8910,2
55,8911,2
55,8912,2
55,5462,1
55,5463,1
55,5490,1
55,2204,1
55,5423,1
55,5564,1
55,2202,1
55,5483,1
55,5374,1
55,5518,1
55,5574,1
55,5580,1
55,5594,1
55,5596,1
55,5597,1
